ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
44,RHODE ISLAND,RI,44001,Bristol,44001030902,"Census Tract 309.02, Bristol County, Rhode Island",4.548571522602,6364,464,3021,116,2649,176,206,114,63,55,39324,6372,560,163,1858,221,1164,205,471,118,221,131,551,635,116,111,214,130,0,18,15,29,72,61,557,135,3.5,1.9,2.1,1.8,39324.0,6372.0,11.9,3.5,29.2,3.4,18.3,2.9,7.7,1.9,8.3,4.9,8.7,10.0,1.9,1.8,7.1,4.3,0.0,1.2,0.6,1.1,2.7,2.3,8.8,2.0,0.1004,0.0544,0.3222,0.5858,1.0628,0.2008,0.9623,0.3766,0.046,0.5607,1.9456,0.4184,0.2552,0.5272,0.7824,0.4059,0.4519,0.0,0.3515,0.1967,0.9372,1.9373,0.4184,5.7281,0.3305,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,91,73,1.5,1.2,5490
44,RHODE ISLAND,RI,44001,Bristol,44001030601,"Census Tract 306.01, Bristol County, Rhode Island",4.28023603803,3389,232,1562,74,1414,99,174,166,62,40,39521,4052,181,90,758,111,712,138,384,106,117,81,127,336,16,49,126,61,8,13,0,18,18,16,69,77,5.3,5.1,3.2,2.1,39521.0,4052.0,7.1,3.5,22.4,3.4,21.0,3.8,11.6,2.9,8.3,5.7,3.7,9.9,0.5,1.5,8.1,3.9,0.5,0.8,0.0,1.3,1.3,1.1,2.0,2.3,0.2259,0.1841,0.3054,0.3431,1.0585,0.1925,0.8285,0.682,0.3264,0.5607,2.3976,0.7782,0.0377,0.2385,0.2762,0.1297,0.4854,0.7615,0.0,0.0879,0.6987,2.0335,0.4519,5.7658,0.3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,81,4.9,2.4,3524
44,RHODE ISLAND,RI,44007,Providence,44007014400,"Census Tract 144, Providence County, Rhode Island",1.015476059344,3699,199,1788,47,1765,59,68,47,52,36,47544,5269,119,62,1132,131,575,86,718,198,134,84,463,320,31,58,429,107,0,13,8,18,61,72,33,15,1.8,1.3,2.7,1.9,47544.0,5269.0,4.0,2.0,30.6,3.1,15.5,2.2,19.5,5.2,7.6,4.8,12.5,8.6,0.9,1.6,24.0,6.0,0.0,2.1,0.5,1.0,3.5,4.1,0.9,0.4,0.0084,0.1004,0.1464,0.0921,0.3473,0.0126,0.9749,0.2008,0.8996,0.5146,2.5899,0.8619,0.431,0.3222,0.7532,0.3766,0.8787,0.0,0.3431,0.2762,0.5983,2.0963,0.4728,5.7867,0.3389,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,75,57,2.0,1.6,2514
44,RHODE ISLAND,RI,44005,Newport,44005040700,"Census Tract 407, Newport County, Rhode Island",0.623596042914,3553,286,1952,77,1594,131,173,124,87,61,50981,5806,168,92,647,114,510,113,388,186,66,51,522,375,113,121,0,18,26,40,70,74,113,77,15,17,4.9,3.4,3.7,2.6,50981.0,5806.0,5.9,3.0,18.2,3.3,14.4,3.0,11.0,5.0,4.1,3.2,14.7,10.5,3.4,3.6,0.0,0.9,1.3,2.0,4.4,4.6,7.1,4.8,0.4,0.5,0.1967,0.2469,0.0879,0.2469,0.7784,0.1088,0.6192,0.1632,0.2552,0.2259,1.2635,0.0795,0.4812,0.6611,1.1423,0.6067,0.0,0.8494,0.8661,0.4895,0.4351,2.6401,0.728,5.8243,0.3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,251,8.0,6.9,2040
44,RHODE ISLAND,RI,44009,Washington,44009050301,"Census Tract 503.01, Washington County, Rhode Island",6.43179522456,4816,303,1871,52,1686,106,268,121,140,56,42867,3825,187,82,896,121,1011,154,499,173,81,58,359,429,0,52,11,21,28,45,26,44,58,49,166,77,5.8,2.6,5.3,2.1,42867.0,3825.0,5.5,2.3,18.6,2.4,21.0,2.9,10.7,3.5,4.8,3.4,7.5,8.9,0.0,1.2,0.6,1.1,1.5,2.4,1.5,2.7,3.4,2.9,3.4,1.6,0.272,0.431,0.2259,0.205,1.1339,0.2218,0.6485,0.682,0.205,0.2803,1.8158,0.3431,0.2008,0.0,0.2008,0.0879,0.1548,0.8661,0.5858,0.2678,0.8159,2.6904,0.749,5.8409,0.3473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,71,2.1,1.5,4392
44,RHODE ISLAND,RI,44009,Washington,44009051101,"Census Tract 511.01, Washington County, Rhode Island",27.013805581328,4839,304,2850,142,1840,150,320,155,269,112,38803,4473,221,70,1006,161,903,114,467,121,62,43,316,414,0,52,0,18,136,92,59,70,18,20,44,49,6.6,3.2,9.6,3.9,38803.0,4473.0,6.1,1.9,20.8,3.2,18.7,2.0,9.7,2.5,3.4,2.4,6.5,8.6,0.0,1.1,0.0,0.6,4.8,3.3,3.2,3.8,1.0,1.1,0.9,1.0,0.3347,0.8577,0.3473,0.2762,1.8159,0.4854,0.749,0.4268,0.1255,0.1841,1.4854,0.159,0.1464,0.0,0.1464,0.0711,0.0,0.9372,0.7992,0.0586,0.5983,2.3933,0.6025,5.841,0.3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,178,93,3.7,1.9,2140
44,RHODE ISLAND,RI,44007,Providence,44007012702,"Census Tract 127.02, Providence County, Rhode Island",2.144235603794,4836,287,2043,86,1958,98,212,132,149,71,42543,5775,267,105,1073,104,911,88,681,171,115,59,432,429,30,60,235,99,0,13,0,18,162,95,42,17,4.4,2.7,6.3,2.9,42543.0,5775.0,7.6,2.9,22.2,1.8,18.8,1.4,14.2,3.3,5.9,3.0,8.9,8.9,0.7,1.3,11.5,4.8,0.0,1.8,0.0,0.9,8.3,4.7,0.9,0.3,0.1757,0.5607,0.2343,0.3808,1.3515,0.3013,0.8117,0.4393,0.5858,0.4017,2.2385,0.6736,0.2636,0.2762,0.5398,0.272,0.59,0.0,0.0,0.5481,0.5983,1.7364,0.3264,5.8662,0.3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,60,1.6,1.2,3718
44,RHODE ISLAND,RI,44005,Newport,44005041000,"Census Tract 410, Newport County, Rhode Island",0.274698445532,1686,208,1465,61,966,107,404,184,45,45,46881,8448,69,54,277,131,60,48,234,99,0,18,193,291,22,56,253,94,0,13,0,18,261,84,72,74,24.6,10.6,3.9,3.8,46881.0,8448.0,4.8,3.8,16.4,6.8,3.6,2.8,14.8,5.9,0.0,1.9,11.4,17.2,1.3,3.4,17.3,6.4,0.0,2.5,0.0,1.9,27.0,8.3,4.3,4.4,0.8075,0.2803,0.159,0.1506,1.3974,0.3222,0.5105,0.0084,0.6276,0.0,1.1465,0.0586,0.4017,0.4184,0.8201,0.4393,0.7322,0.0,0.0,0.9331,0.8577,2.523,0.6653,5.887,0.3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,63,51,4.0,3.3,4620
44,RHODE ISLAND,RI,44003,Kent,44003020903,"Census Tract 209.03, Kent County, Rhode Island",12.220217489562,6089,329,2207,96,2012,125,366,274,159,76,69199,11532,177,89,894,96,1861,226,549,182,123,70,867,486,50,79,81,76,100,77,43,63,24,29,24,11,6.0,4.5,5.3,2.5,69199.0,11532.0,4.5,2.2,14.7,1.8,30.6,3.3,9.0,3.0,6.1,3.5,14.2,7.9,0.9,1.4,3.7,3.5,4.5,3.5,2.1,3.2,1.2,1.4,0.4,0.2,0.2929,0.431,0.0126,0.1297,0.8662,0.1255,0.3556,0.9582,0.1004,0.41,1.8242,0.3556,0.4603,0.3222,0.7825,0.4142,0.3013,0.9289,0.6862,0.0669,0.4351,2.4184,0.6151,5.8913,0.364,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,168,113,2.8,1.8,8008
44,RHODE ISLAND,RI,44001,Bristol,44001030800,"Census Tract 308, Bristol County, Rhode Island",2.310325101134,6254,394,1701,104,1605,115,467,285,99,52,22179,2935,449,140,790,112,521,152,514,153,57,52,607,559,65,82,28,32,0,18,56,78,67,56,2785,346,13.4,7.9,3.0,1.6,22179.0,2935.0,16.3,5.0,12.6,2.0,8.3,2.4,8.2,2.5,3.6,3.3,9.7,8.9,1.1,1.3,1.6,1.9,0.0,2.2,3.5,4.9,4.2,3.5,44.5,4.8,0.6151,0.1548,0.8201,0.7406,2.3306,0.6402,0.272,0.0377,0.0753,0.1925,0.5775,0.0209,0.2929,0.3849,0.6778,0.3305,0.205,0.0,0.8075,0.3515,0.9749,2.3389,0.59,5.9248,0.3682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,189,146,3.0,2.3,8462
