FID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
10,44,RHODE ISLAND,RI,44001,Bristol,44001030700,"Census Tract 307, Bristol County, Rhode Island",0.4192732,3961.0,316.0,2159.0,103.0,1941.0,131.0,754.0,295.0,108.0,80.0,28358.0,4525.0,529.0,184.0,571.0,143.0,571.0,225.0,674.0,151.0,121.0,82.7,134.0,460.5,118.0,82.5,243.0,90.8,0.0,12.0,0.0,17.0,277.0,115.0,11.0,6.0,19.0,7.3,4.9,3.6,28358.0,4525.0,17.9,6.3,14.4,3.8,14.4,5.6,17.0,3.7,6.2,4.2,3.4,11.6,3.1,2.1,11.3,4.2,0.0,1.6,0.0,0.9,14.3,5.8,0.3,0.1,0.7238,0.2385,0.5983,0.7657,2.3264,0.636,0.3682,0.1464,0.8243,0.3933,1.7322,0.2762,0.0502,0.636,0.6862,0.3431,0.5774,0.0,0.0,0.7531,0.3766,1.7071,0.2762,6.4519,0.4686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,224.0,11.7,5.5,3203.0
11,44,RHODE ISLAND,RI,44001,Bristol,44001030901,"Census Tract 309.01, Bristol County, Rhode Island",2.5166433,5990.0,478.0,2279.0,119.0,2197.0,127.0,266.0,163.0,281.0,117.0,34400.0,3871.0,581.0,219.0,1214.0,225.0,1141.0,204.0,641.0,176.0,17.0,31.1,414.0,686.0,222.0,126.7,76.0,68.2,0.0,17.0,0.0,24.0,85.0,89.0,201.0,129.0,4.6,2.8,8.3,3.3,34400.0,3871.0,13.1,4.7,20.3,3.3,19.0,3.0,11.0,3.1,0.8,1.4,6.9,11.4,3.9,2.2,3.3,3.0,0.0,1.5,0.0,1.1,3.9,4.0,3.4,2.1,0.1715,0.6192,0.3975,0.6402,1.8285,0.4812,0.7615,0.431,0.2803,0.0126,1.4854,0.1674,0.2176,0.6862,0.9038,0.4812,0.2971,0.0,0.0,0.2427,0.8075,1.3473,0.1548,5.5649,0.2594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,176.0,5.6,3.0,2324.0
12,44,RHODE ISLAND,RI,44003,Kent,44003020101,"Census Tract 201.01, Kent County, Rhode Island",2.4555049,6236.0,378.0,2894.0,89.0,2723.0,161.0,442.0,184.0,178.0,94.0,34009.0,3194.0,338.0,129.0,1144.0,192.0,1202.0,153.0,901.0,232.0,214.0,122.1,534.0,564.3,57.0,83.3,835.0,182.5,0.0,17.0,0.0,24.0,128.0,72.0,0.0,17.0,7.2,3.1,4.9,2.6,34009.0,3194.0,7.3,2.7,18.3,3.2,19.3,2.2,14.5,3.6,7.9,4.5,8.6,9.0,1.0,1.4,28.9,6.2,0.0,1.2,0.0,0.9,4.7,2.7,0.0,0.3,0.3264,0.2385,0.4142,0.3054,1.2845,0.3096,0.6611,0.4644,0.6778,0.523,2.3264,0.7155,0.3138,0.3933,0.7071,0.3598,0.9289,0.0,0.0,0.3222,0.0,1.251,0.1297,5.569,0.2636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,222.0,141.0,3.6,2.2,5045.0
13,44,RHODE ISLAND,RI,44003,Kent,44003020102,"Census Tract 201.02, Kent County, Rhode Island",1.018566,4954.0,389.0,2154.0,79.0,2003.0,116.0,949.0,323.0,182.0,119.0,29415.0,5767.0,371.0,148.0,825.0,144.0,704.0,245.0,783.0,255.0,69.0,55.7,611.0,563.7,53.0,79.9,284.0,145.0,0.0,12.0,88.0,77.4,178.0,108.0,123.0,97.0,19.6,6.7,6.1,4.0,29415.0,5767.0,10.2,4.0,16.7,2.9,14.2,4.8,16.2,4.8,3.4,2.8,12.3,11.3,1.1,1.7,13.2,6.7,0.0,1.6,4.4,3.9,8.9,5.3,2.5,1.9,0.7364,0.3724,0.5732,0.5063,2.1883,0.5816,0.5481,0.1381,0.7699,0.1381,1.5941,0.2134,0.4351,0.4268,0.8619,0.4477,0.6444,0.0,0.8996,0.5607,0.7615,2.8661,0.795,7.5105,0.6276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,204.0,8.3,4.4,2187.0
14,44,RHODE ISLAND,RI,44003,Kent,44003020200,"Census Tract 202, Kent County, Rhode Island",1.1076652,4569.0,378.0,2414.0,86.0,2196.0,129.0,692.0,302.0,172.0,84.0,25720.0,3663.0,351.0,127.0,711.0,103.0,904.0,258.0,789.0,216.0,330.0,179.2,884.0,589.2,55.0,62.5,697.0,170.5,0.0,12.0,79.0,83.2,203.0,105.0,19.0,17.0,15.1,6.5,6.5,3.2,25720.0,3663.0,10.5,3.9,15.6,2.7,19.8,5.4,17.3,4.4,15.0,8.1,19.3,12.8,1.3,1.5,28.9,7.0,0.0,1.4,3.6,3.8,9.2,4.8,0.4,0.4,0.6402,0.4268,0.6946,0.5272,2.2887,0.6276,0.4686,0.523,0.8494,0.7699,2.6109,0.8661,0.5816,0.4519,1.0335,0.5272,0.9331,0.0,0.8536,0.5858,0.4603,2.8326,0.7824,8.7657,0.7364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,320.0,191.0,7.0,4.1,4690.0
15,44,RHODE ISLAND,RI,44003,Kent,44003020300,"Census Tract 203, Kent County, Rhode Island",0.8401058,5993.0,488.0,2791.0,136.0,2535.0,188.0,1922.0,681.0,455.0,200.0,20996.0,3539.0,669.0,215.0,669.0,160.0,1368.0,308.0,1268.0,261.0,232.0,137.3,849.0,709.5,61.0,97.8,609.0,163.5,0.0,17.0,109.0,73.9,396.0,137.0,16.0,10.0,32.2,9.8,13.4,5.9,20996.0,3539.0,17.0,5.0,11.2,2.8,22.8,4.8,21.2,4.2,9.2,5.4,14.2,11.8,1.1,1.7,21.8,5.8,0.0,1.2,4.3,2.9,15.6,5.2,0.3,0.2,0.887,0.9079,0.8117,0.7238,3.3305,0.8577,0.2343,0.749,0.9791,0.5983,2.5607,0.8494,0.4812,0.4142,0.8954,0.4686,0.8619,0.0,0.8912,0.7782,0.3682,2.8996,0.8075,9.6862,0.8033,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,618.0,279.0,10.3,4.5,3585.0
16,44,RHODE ISLAND,RI,44003,Kent,44003020400,"Census Tract 204, Kent County, Rhode Island",0.6463911,2756.0,316.0,1230.0,55.0,1132.0,86.0,224.0,96.0,222.0,107.0,26305.0,3110.0,278.0,114.0,318.0,108.0,527.0,165.0,390.0,130.0,109.0,62.1,266.0,444.1,31.0,56.0,77.0,66.6,0.0,12.0,0.0,17.0,55.0,38.0,9.0,5.0,8.2,3.6,12.9,5.6,26305.0,3110.0,14.0,5.5,11.5,3.8,19.1,5.6,14.2,4.3,9.6,5.4,9.7,16.1,1.2,2.2,6.3,5.4,0.0,2.8,0.0,1.5,4.9,3.3,0.3,0.2,0.3975,0.8828,0.6695,0.6611,2.6109,0.7113,0.2552,0.4393,0.6402,0.6151,1.9498,0.4561,0.3766,0.4435,0.8201,0.4351,0.431,0.0,0.0,0.3347,0.431,1.1967,0.1046,6.5774,0.4812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,111.0,8.1,4.0,1149.0
17,44,RHODE ISLAND,RI,44003,Kent,44003020500,"Census Tract 205, Kent County, Rhode Island",1.7219219,4328.0,254.0,2050.0,63.0,1848.0,94.0,461.0,148.0,257.0,106.0,29292.0,2086.0,551.0,131.0,971.0,133.0,772.0,101.0,903.0,184.0,185.0,91.0,612.0,462.1,90.0,70.2,288.0,58.7,0.0,12.0,0.0,17.0,166.0,85.0,18.0,22.0,10.7,3.4,11.4,4.5,29292.0,2086.0,17.1,3.7,22.4,2.8,17.8,2.1,20.9,3.9,10.0,4.9,14.1,10.6,2.2,1.7,14.0,2.8,0.0,1.7,0.0,0.9,9.0,4.5,0.4,0.5,0.5105,0.8452,0.5774,0.728,2.6611,0.728,0.8619,0.3264,0.9749,0.6444,2.8075,0.9289,0.477,0.5732,1.0502,0.5397,0.6611,0.0,0.0,0.5732,0.4644,1.6987,0.2678,8.2176,0.6987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,287.0,133.0,6.6,2.9,2597.0
18,44,RHODE ISLAND,RI,44003,Kent,44003020601,"Census Tract 206.01, Kent County, Rhode Island",3.7286565,6379.0,333.0,2330.0,60.0,2226.0,101.0,453.0,262.0,332.0,120.0,31709.0,2476.0,365.0,144.0,707.0,164.0,1417.0,166.0,842.0,295.0,134.0,87.7,588.0,500.8,19.0,68.9,45.0,51.0,0.0,17.0,0.0,24.0,0.0,17.0,190.0,145.0,7.3,4.2,9.0,3.2,31709.0,2476.0,8.4,3.2,11.1,2.5,22.2,2.3,13.6,4.9,6.0,3.9,9.2,7.8,0.3,1.1,1.9,2.2,0.0,1.5,0.0,1.1,0.0,1.6,3.0,2.3,0.3389,0.682,0.4854,0.3849,1.8912,0.5063,0.2259,0.7238,0.5732,0.364,1.887,0.4059,0.3515,0.2008,0.5523,0.2636,0.2259,0.0,0.0,0.0,0.795,1.0209,0.0753,5.3515,0.2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,143.0,4.1,2.3,3648.0
19,44,RHODE ISLAND,RI,44003,Kent,44003020602,"Census Tract 206.02, Kent County, Rhode Island",2.5176036,3379.0,274.0,1645.0,70.0,1570.0,89.0,557.0,384.0,154.0,103.0,31977.0,5161.0,307.0,100.0,643.0,66.0,436.0,138.0,458.0,133.0,94.0,56.1,170.0,396.1,34.0,51.4,0.0,17.0,406.0,90.0,44.0,43.7,35.0,30.0,6.0,3.0,16.5,10.7,7.4,4.9,31977.0,5161.0,11.3,3.7,19.0,2.5,12.9,3.9,13.6,4.0,6.0,3.6,5.0,11.7,1.1,1.6,0.0,1.0,24.7,5.3,2.8,2.8,2.2,1.9,0.2,0.1,0.6778,0.523,0.4728,0.569,2.2427,0.6109,0.6946,0.0962,0.5732,0.3598,1.7238,0.2678,0.1046,0.41,0.5146,0.2343,0.0,1.0,0.7699,0.1213,0.272,2.1632,0.5021,6.6444,0.4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,185.0,74.0,5.5,2.3,3088.0
20,44,RHODE ISLAND,RI,44003,Kent,44003020603,"Census Tract 206.03, Kent County, Rhode Island",3.2859462,6577.0,331.0,2988.0,77.0,2823.0,133.0,194.0,109.0,499.0,255.0,31114.0,2481.0,495.0,170.0,1081.0,159.0,1208.0,155.0,999.0,263.0,120.0,99.5,238.0,516.9,0.0,68.0,205.0,108.3,189.0,80.0,14.0,27.8,161.0,85.0,9.0,5.0,3.0,1.6,12.5,6.1,31114.0,2481.0,10.4,3.5,16.4,2.4,18.4,2.2,15.2,3.8,4.3,3.5,3.6,7.9,0.0,1.1,6.9,3.6,6.3,2.7,0.5,1.0,5.7,3.0,0.1,0.1,0.0628,0.8745,0.5146,0.5146,1.9665,0.5397,0.5356,0.3724,0.7197,0.2092,1.8368,0.3556,0.0586,0.0,0.0586,0.0167,0.4519,0.954,0.364,0.41,0.2385,2.4184,0.6151,6.2803,0.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,622.0,294.0,9.5,4.5,5273.0
21,44,RHODE ISLAND,RI,44003,Kent,44003020604,"Census Tract 206.04, Kent County, Rhode Island",1.6772252,5663.0,372.0,2401.0,76.0,2279.0,101.0,591.0,307.0,162.0,111.0,27555.0,2920.0,253.0,116.0,849.0,113.0,1377.0,225.0,1050.0,295.0,401.0,174.9,261.0,514.2,0.0,68.0,349.0,151.4,0.0,17.0,26.0,45.3,93.0,84.0,7.0,4.0,10.4,5.4,5.4,3.7,27555.0,2920.0,6.7,3.1,15.0,1.9,24.3,3.6,18.7,5.2,17.6,7.6,4.6,9.1,0.0,1.3,14.5,6.3,0.0,1.4,1.1,2.0,4.1,3.7,0.1,0.1,0.4812,0.2971,0.636,0.2594,1.6736,0.4393,0.4184,0.7992,0.9331,0.8285,2.9791,0.9749,0.0795,0.0,0.0795,0.0209,0.6778,0.0,0.5439,0.2803,0.2301,1.7322,0.2929,6.4644,0.4728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164.0,137.0,2.9,2.4,2048.0
22,44,RHODE ISLAND,RI,44003,Kent,44003020701,"Census Tract 207.01, Kent County, Rhode Island",21.9512721,1865.0,98.0,718.0,31.0,675.0,44.0,81.0,79.0,6.0,8.0,33958.0,4472.0,98.0,62.0,347.0,73.0,334.0,34.0,317.0,90.0,19.0,15.3,160.0,176.7,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,28.0,32.0,40.0,17.0,4.4,4.3,0.6,0.8,33958.0,4472.0,7.0,4.4,18.6,3.5,17.9,1.6,17.3,4.7,2.8,2.3,8.6,9.5,0.0,2.6,0.0,2.4,0.0,4.8,0.0,2.5,4.1,4.6,2.1,0.9,0.159,0.0042,0.4184,0.2803,0.8619,0.1381,0.6695,0.3347,0.8494,0.113,1.9665,0.4686,0.318,0.0,0.318,0.1464,0.0,0.0,0.0,0.2803,0.7113,0.9916,0.0711,4.1381,0.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,3.2,2.0,517.0
23,44,RHODE ISLAND,RI,44003,Kent,44003020702,"Census Tract 207.02, Kent County, Rhode Island",16.9188966,4552.0,243.0,1811.0,73.0,1650.0,96.0,220.0,148.0,60.0,57.0,35769.0,2999.0,133.0,56.0,756.0,118.0,902.0,74.0,491.0,145.0,90.0,56.9,56.0,344.4,11.0,49.5,0.0,17.0,126.0,56.0,49.0,44.7,7.0,13.0,68.0,79.0,4.9,3.3,2.2,2.0,35769.0,2999.0,4.0,1.6,16.6,2.3,19.8,1.2,10.9,3.1,5.5,3.4,1.2,7.6,0.3,1.2,0.0,0.9,7.0,3.0,3.0,2.7,0.4,0.8,1.5,1.7,0.2008,0.0377,0.3305,0.113,0.682,0.0669,0.5439,0.5314,0.2552,0.3013,1.6318,0.2301,0.0042,0.1715,0.1757,0.0586,0.0,0.9707,0.8033,0.0167,0.6611,2.4519,0.6318,4.9414,0.1674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,180.0,103.0,4.0,2.3,1810.0
24,44,RHODE ISLAND,RI,44003,Kent,44003020703,"Census Tract 207.03, Kent County, Rhode Island",8.9740352,6538.0,347.0,2778.0,69.0,2572.0,132.0,357.0,234.0,292.0,171.0,39218.0,4404.0,351.0,129.0,1257.0,187.0,1109.0,141.0,1001.0,260.0,99.0,83.7,333.0,524.3,59.0,87.1,221.0,96.7,244.0,99.0,26.0,46.2,94.0,63.0,192.0,117.0,5.6,3.7,8.0,4.5,39218.0,4404.0,7.3,2.6,19.2,2.3,17.0,2.0,15.8,4.0,3.8,3.2,5.1,8.0,0.9,1.4,8.0,3.5,8.8,3.5,1.0,1.8,3.7,2.4,2.9,1.8,0.2552,0.6025,0.251,0.3054,1.4142,0.3515,0.7155,0.2552,0.7406,0.1715,1.8828,0.3975,0.1088,0.3682,0.477,0.2176,0.4937,0.9791,0.523,0.2385,0.7908,3.0251,0.841,6.7992,0.4979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,225.0,150.0,3.5,2.4,6440.0
25,44,RHODE ISLAND,RI,44003,Kent,44003020800,"Census Tract 208, Kent County, Rhode Island",50.2597248,6112.0,19.0,2354.0,193.0,2181.0,139.0,146.0,105.0,243.0,121.0,34620.0,3072.0,133.0,88.0,625.0,95.0,1610.0,176.0,425.0,178.0,229.0,114.3,541.0,303.6,0.0,68.0,145.0,89.3,141.0,71.0,25.0,35.4,23.0,37.0,33.0,28.0,2.4,1.7,7.1,3.4,34620.0,3072.0,3.2,2.1,10.2,1.6,26.3,2.9,7.0,2.9,10.5,5.2,8.9,5.0,0.0,1.2,6.2,3.8,6.0,2.9,1.1,1.6,1.1,1.7,0.5,0.5,0.0377,0.4937,0.3766,0.0669,0.9749,0.1841,0.1925,0.8494,0.0377,0.6736,1.7531,0.2929,0.3347,0.0,0.3347,0.1506,0.4142,0.9456,0.5481,0.0544,0.5188,2.4812,0.6611,5.5439,0.2552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,397.0,250.0,6.5,4.1,6009.0
26,44,RHODE ISLAND,RI,44003,Kent,44003020901,"Census Tract 209.01, Kent County, Rhode Island",0.9779724,3476.0,219.0,1883.0,96.0,1675.0,114.0,334.0,126.0,143.0,67.0,44687.0,5640.0,238.0,98.0,550.0,99.0,713.0,83.0,430.0,108.0,135.0,66.6,324.0,322.0,24.0,59.4,276.0,93.5,8.0,13.0,0.0,17.0,259.0,88.0,10.0,6.0,9.6,3.5,7.2,3.2,44687.0,5640.0,9.3,3.8,15.8,2.9,20.5,2.0,12.4,3.0,8.1,3.9,9.3,9.2,0.7,1.8,14.7,4.9,0.4,0.7,0.0,1.0,15.5,5.0,0.3,0.2,0.4603,0.5063,0.1297,0.4519,1.5481,0.3849,0.4812,0.5816,0.4059,0.5481,2.0167,0.5146,0.3556,0.3431,0.6987,0.3515,0.6904,0.7364,0.0,0.7741,0.3933,2.5941,0.6987,6.8577,0.5188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,121.0,5.9,3.4,5279.0
27,44,RHODE ISLAND,RI,44003,Kent,44003020903,"Census Tract 209.03, Kent County, Rhode Island",12.2851525,6116.0,298.0,2145.0,132.0,2071.0,121.0,69.0,70.0,135.0,90.0,63704.0,10124.0,93.0,62.0,950.0,161.0,1676.0,187.0,279.0,93.0,48.0,48.1,502.0,472.8,35.0,75.3,62.0,69.1,37.0,33.0,0.0,24.0,16.0,25.0,24.0,28.0,1.1,1.1,4.5,3.0,63704.0,10124.0,2.3,1.5,15.5,2.7,27.4,2.8,4.6,1.5,2.3,2.3,8.2,7.7,0.6,1.3,2.9,3.2,1.7,1.5,0.0,1.2,0.8,1.2,0.4,0.5,0.0042,0.1925,0.0126,0.0251,0.2343,0.0084,0.4561,0.8828,0.0084,0.0669,1.4142,0.1255,0.3096,0.3054,0.6151,0.3054,0.2762,0.8703,0.0,0.0418,0.4519,1.6402,0.2469,3.9038,0.0544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,169.0,4.5,2.7,10187.0
28,44,RHODE ISLAND,RI,44003,Kent,44003020904,"Census Tract 209.04, Kent County, Rhode Island",3.1331073,3512.0,222.0,1383.0,70.0,1323.0,88.0,110.0,85.0,67.0,56.0,53108.0,7506.0,58.0,53.0,715.0,116.0,981.0,113.0,383.0,109.0,53.0,41.6,529.0,332.1,19.0,50.1,141.0,71.0,0.0,12.0,0.0,17.0,104.0,70.0,46.0,43.0,3.2,2.4,4.4,3.8,53108.0,7506.0,2.5,2.2,20.4,2.9,27.9,2.7,11.0,3.0,4.0,3.1,15.1,9.4,0.6,1.5,10.2,5.1,0.0,2.5,0.0,1.3,7.9,5.2,1.3,1.2,0.0795,0.1757,0.046,0.0293,0.3305,0.0251,0.7699,0.9038,0.2803,0.1883,2.1423,0.5983,0.5146,0.2887,0.8033,0.4184,0.5481,0.0,0.0,0.5188,0.6402,1.7071,0.2762,4.9833,0.1715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,73.0,2.6,2.1,3367.0
29,44,RHODE ISLAND,RI,44003,Kent,44003021001,"Census Tract 210.01, Kent County, Rhode Island",0.5855322,2677.0,238.0,1045.0,32.0,994.0,51.0,196.0,143.0,105.0,59.0,28712.0,3077.0,327.0,119.0,360.0,93.0,586.0,151.0,452.0,133.0,91.0,62.2,467.0,367.5,99.0,88.1,38.0,25.9,0.0,12.0,20.0,28.6,64.0,35.0,0.0,12.0,7.4,5.3,7.0,3.5,28712.0,3077.0,16.7,6.0,13.4,4.1,21.9,5.3,16.9,5.3,9.2,6.2,17.4,13.6,3.9,3.5,3.6,2.5,0.0,3.3,2.0,2.9,6.4,3.5,0.0,0.4,0.3556,0.4854,0.59,0.7113,2.1423,0.5732,0.3222,0.7029,0.7992,0.6025,2.4268,0.7741,0.5607,0.6904,1.251,0.636,0.318,0.0,0.6653,0.4561,0.0,1.4393,0.1967,7.2594,0.5858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,184.0,9.8,6.5,1543.0
30,44,RHODE ISLAND,RI,44003,Kent,44003021002,"Census Tract 210.02, Kent County, Rhode Island",1.0449654,4952.0,245.0,2304.0,54.0,2304.0,54.0,412.0,167.0,230.0,121.0,39388.0,4681.0,171.0,95.0,930.0,101.0,790.0,114.0,557.0,168.0,210.0,122.0,836.0,403.8,82.0,80.5,243.0,84.2,0.0,12.0,21.0,34.2,37.0,43.0,100.0,48.0,8.5,3.4,7.3,3.8,39388.0,4681.0,4.5,2.5,18.8,1.9,16.0,2.2,11.4,3.4,9.1,5.3,16.9,8.1,1.8,1.7,10.5,3.6,0.0,1.5,0.9,1.5,1.6,1.9,2.0,1.0,0.4059,0.5105,0.2427,0.1339,1.2929,0.318,0.6862,0.1925,0.3347,0.59,1.8033,0.3347,0.5397,0.5356,1.0753,0.5523,0.5649,0.0,0.4854,0.0795,0.6946,1.8243,0.3305,5.9958,0.3598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,139.0,8.0,2.8,3024.0
31,44,RHODE ISLAND,RI,44003,Kent,44003021100,"Census Tract 211, Kent County, Rhode Island",2.6353504,4845.0,357.0,2226.0,126.0,2075.0,164.0,364.0,177.0,100.0,60.0,30161.0,3897.0,401.0,161.0,811.0,165.0,1058.0,147.0,861.0,183.0,207.0,136.4,840.0,589.4,129.0,103.3,447.0,132.8,0.0,12.0,35.0,38.3,163.0,68.0,0.0,12.0,7.5,3.7,3.5,2.2,30161.0,3897.0,11.7,4.7,16.7,3.3,21.8,2.6,17.8,4.0,10.0,6.5,17.3,12.1,2.9,2.3,20.1,5.9,0.0,1.6,1.7,1.8,7.9,3.2,0.0,0.2,0.3598,0.0921,0.5565,0.6067,1.6151,0.4184,0.5481,0.6987,0.8661,0.6402,2.7531,0.9205,0.5481,0.6234,1.1715,0.6067,0.8117,0.0,0.6234,0.5188,0.0,1.954,0.41,7.4937,0.6151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,171.0,6.4,3.4,13858.0
32,44,RHODE ISLAND,RI,44003,Kent,44003021200,"Census Tract 212, Kent County, Rhode Island",0.8796195,3585.0,197.0,1665.0,66.0,1585.0,87.0,305.0,143.0,224.0,132.0,34499.0,8505.0,298.0,104.0,643.0,87.0,635.0,92.0,648.0,201.0,158.0,74.1,361.0,306.6,24.0,51.5,251.0,81.4,0.0,12.0,44.0,35.8,106.0,76.0,6.0,4.0,8.5,4.1,10.3,5.9,34499.0,8505.0,11.2,3.8,17.9,2.4,17.7,2.4,18.1,5.5,10.0,4.6,10.1,8.5,0.7,1.5,15.1,4.9,0.0,2.1,2.8,2.3,6.7,4.7,0.2,0.1,0.4059,0.7699,0.3891,0.5649,2.1297,0.5649,0.6109,0.318,0.8954,0.636,2.4603,0.8033,0.3891,0.3305,0.7197,0.3724,0.6987,0.0,0.7615,0.4728,0.2594,2.1925,0.523,7.5021,0.6192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,146.0,7.8,4.0,3414.0
