ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
44,Rhode Island,RI,44007,Providence,44007016500,"Census Tract 165, Providence County, Rhode Island",0.377172232944,3794,411,1807,169,1681,161,569,214,116,73,365,106,216,107,60,51,696,174,699,218,475,148,40,51,143,112,895,371,269,119,8,15,36,47,194,84,0,14,15.0,5.4,5.3,3.0,21.7,6.0,7.4,3.5,1.6,1.4,18.3,4.2,18.4,5.4,12.5,3.9,2.4,3.0,4.0,3.1,23.6,9.4,14.9,6.4,0.4,0.9,2.1,2.8,11.5,5.0,0.0,0.4,0.4898,0.5551,0.2082,0.4367,0.1918,1.8816,0.3429,0.5837,0.5061,0.4571,0.2163,0.7143,2.4775,0.5143,0.6082,0.6082,0.6082,0.6694,0.7469,0.6898,0.7061,0.0,2.8122,0.7837,7.7795,0.5837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305,242,594,185,160,318,277,187,125,0,14,0,14,205,139,0,14,6.4,0.7,4.9,4.3,8.4,7.0,4.9,3.3,0.0,1.1,0.0,1.1,5.4,3.6,0.0,1.1
44,Rhode Island,RI,44007,Providence,44007016600,"Census Tract 166, Providence County, Rhode Island",0.28278303531,1957,274,793,144,715,149,451,193,120,71,190,70,319,117,110,72,302,99,347,87,313,87,84,48,189,107,1185,347,33,30,0,14,17,14,43,33,100,78,24.1,9.8,10.1,6.0,26.6,8.1,23.8,9.1,5.9,3.8,15.4,4.5,17.7,3.7,16.8,4.9,11.7,6.3,9.9,5.4,60.6,15.6,4.2,3.7,0.0,5.2,2.4,1.9,6.0,4.5,5.1,3.9,0.6939,0.8694,0.3959,0.898,0.751,3.6082,0.8163,0.3878,0.449,0.7755,0.8449,0.8735,3.3307,0.8857,0.8449,0.8449,0.8449,0.3306,0.0,0.7347,0.4776,0.9102,2.4531,0.6245,10.2369,0.8286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2611,167,398,503,257,481,187,0,14,60,61,0,14,15,24,126,124,9.0,1.3,25.7,11.2,24.6,9.6,0.0,2.1,3.1,3.1,0.0,2.1,0.8,1.2,6.4,6.3
44,Rhode Island,RI,44007,Providence,44007016700,"Census Tract 167, Providence County, Rhode Island",0.319267357698,3842,583,1479,204,1365,208,869,343,181,122,598,221,416,192,276,204,345,111,828,275,482,151,218,164,156,101,2706,707,120,76,0,14,54,51,178,88,28,41,22.8,8.3,7.6,4.7,43.8,14.8,16.0,7.2,7.2,5.3,9.0,3.0,21.6,6.4,12.5,4.2,16.0,11.8,4.5,2.8,70.4,15.0,8.1,5.0,0.0,2.8,4.0,3.7,13.0,6.2,0.7,1.1,0.6776,0.7755,0.849,0.7714,0.8122,3.8857,0.8449,0.1143,0.698,0.4571,0.902,0.7347,2.9061,0.7224,0.8735,0.8735,0.8735,0.4735,0.0,0.8286,0.751,0.551,2.6041,0.7143,10.2694,0.8327,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2185,786,866,618,307,1560,493,84,96,1,3,0,14,329,375,114,114,20.6,3.1,16.1,8.0,40.6,10.6,2.2,2.5,0.0,0.1,0.0,1.1,8.6,9.1,3.0,3.1
44,Rhode Island,RI,44007,Providence,44007016800,"Census Tract 168, Providence County, Rhode Island",0.33338749394,3096,538,1251,152,1206,150,451,210,9,14,319,117,258,106,195,172,521,195,540,97,423,166,58,58,177,177,900,296,57,58,0,14,0,19,71,68,0,14,14.8,6.5,0.5,0.8,26.5,9.1,10.8,4.6,6.4,5.6,16.8,4.7,17.4,0.8,13.8,5.7,4.8,4.8,6.0,5.9,29.1,8.1,4.6,4.6,0.0,3.3,0.0,1.6,5.9,5.5,0.0,0.5,0.4857,0.0204,0.3878,0.5959,0.7755,2.2653,0.4571,0.4939,0.4204,0.5796,0.4776,0.7837,2.7552,0.6653,0.6571,0.6571,0.6571,0.351,0.0,0.0,0.4694,0.0,0.8204,0.0612,6.498,0.3755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,258,772,151,115,569,243,33,35,0,14,8,14,139,119,0,14,8.3,1.5,4.9,3.9,18.4,8.4,1.1,1.2,0.0,1.4,0.3,0.4,4.5,3.6,0.0,1.4
44,Rhode Island,RI,44007,Providence,44007016900,"Census Tract 169, Providence County, Rhode Island",0.702584790074,1661,222,816,122,732,116,123,71,26,22,189,67,47,21,91,62,394,96,286,76,247,71,33,22,22,57,296,146,0,19,0,14,0,19,18,15,5,5,7.4,4.2,2.6,2.2,25.8,8.2,3.5,1.7,5.5,3.5,23.7,5.2,17.2,4.0,14.9,4.0,4.5,2.9,1.4,3.5,17.8,8.5,0.0,2.3,0.0,5.1,0.0,2.6,2.5,2.1,0.3,0.3,0.1837,0.1714,0.351,0.151,0.7184,1.5755,0.2163,0.8082,0.4082,0.6612,0.4612,0.4776,2.8164,0.6898,0.4857,0.4857,0.4857,0.0,0.0,0.0,0.2408,0.3551,0.5959,0.0367,5.4735,0.1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,96,316,44,56,180,108,0,14,0,14,0,14,20,24,52,76,5.8,0.8,2.6,3.4,10.8,6.1,0.0,2.5,0.0,2.5,0.0,2.5,1.2,1.4,3.1,4.4
44,Rhode Island,RI,44007,Providence,44007017000,"Census Tract 170, Providence County, Rhode Island",0.689754620614,4171,587,1741,172,1613,200,662,315,96,72,531,156,480,168,295,144,679,122,659,175,676,219,160,121,288,136,1781,617,361,118,106,45,8,18,46,37,124,97,16.3,7.4,4.2,3.4,32.9,8.8,15.3,4.9,7.3,3.5,16.3,3.4,15.8,3.6,16.7,5.1,9.9,7.4,7.2,3.2,42.7,13.5,20.7,6.5,6.1,2.6,0.5,1.1,2.9,2.3,3.0,2.3,0.5429,0.3837,0.6204,0.7551,0.8204,3.1225,0.702,0.4612,0.2653,0.7551,0.7878,0.8204,3.0898,0.7878,0.7469,0.7469,0.7469,0.8082,0.951,0.3429,0.2816,0.8286,3.2123,0.9102,10.1715,0.8204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3913,437,809,178,127,1011,547,276,182,0,14,0,14,176,126,140,128,10.8,1.6,4.3,3.0,24.2,11.0,6.6,4.2,0.0,1.0,0.0,1.0,4.2,2.7,3.4,3.3
44,Rhode Island,RI,44007,Providence,44007017100,"Census Tract 171, Providence County, Rhode Island",0.80947442606,4645,614,1894,187,1757,194,1255,390,223,138,640,166,421,125,205,141,533,84,931,229,674,189,105,71,194,100,2505,651,262,110,88,49,57,39,295,105,45,33,27.2,7.6,8.3,5.1,36.4,8.6,13.2,4.3,4.4,3.0,11.5,2.6,20.0,4.2,14.6,4.1,6.0,4.0,4.4,2.2,53.9,12.1,13.8,5.6,4.6,2.6,3.2,2.2,16.8,6.1,1.0,0.7,0.7673,0.8163,0.7184,0.7102,0.6082,3.6204,0.8204,0.2286,0.6041,0.6408,0.5796,0.7306,2.7837,0.6735,0.7959,0.7959,0.7959,0.6204,0.9429,0.7959,0.8245,0.6245,3.8082,0.9918,11.0082,0.8939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5481,695,933,786,375,1260,452,112,128,0,14,0,14,338,250,9,15,15.1,2.0,16.9,7.4,27.1,8.6,2.4,2.8,0.0,0.9,0.0,0.9,7.3,5.0,0.2,0.3
44,Rhode Island,RI,44007,Providence,44007017300,"Census Tract 173, Providence County, Rhode Island",0.519722635752,3222,906,1461,198,1218,213,776,365,98,70,305,115,293,117,112,70,347,120,818,502,503,181,46,51,20,57,1381,672,20,26,9,13,192,181,92,64,0,14,24.4,9.2,5.7,4.2,25.0,8.4,12.9,5.2,3.5,2.0,10.8,5.0,25.4,13.8,15.6,3.6,3.8,4.1,0.7,2.1,42.9,17.0,1.4,1.8,0.6,0.9,15.8,14.6,7.6,5.6,0.0,0.4,0.702,0.5918,0.3061,0.6857,0.4735,2.7591,0.5878,0.1714,0.8612,0.7102,0.3878,0.302,2.4326,0.4857,0.751,0.751,0.751,0.2163,0.7673,0.9959,0.5592,0.0,2.5387,0.698,8.4814,0.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1461,360,1272,414,316,787,586,83,59,33,49,0,14,64,62,0,14,11.2,3.2,12.8,9.7,24.4,12.6,2.6,2.0,1.0,1.5,0.0,1.3,2.0,1.9,0.0,1.3
44,Rhode Island,RI,44007,Providence,44007017400,"Census Tract 174, Providence County, Rhode Island",0.663573430096,4606,655,1681,131,1470,132,2222,681,173,88,585,145,317,114,76,60,417,135,1562,386,845,223,326,102,179,109,3071,647,177,74,0,14,28,32,226,101,128,91,49.3,13.3,8.5,4.4,39.8,9.2,11.6,3.8,1.7,1.3,9.1,3.0,33.9,6.9,18.7,5.0,22.2,6.6,4.2,2.5,66.7,10.4,10.5,4.3,0.0,2.5,1.9,2.2,15.4,6.8,2.8,1.9,0.9714,0.8286,0.7918,0.6367,0.2082,3.4367,0.7837,0.1224,0.9878,0.8531,0.9347,0.7265,3.6245,0.9673,0.8612,0.8612,0.8612,0.5551,0.0,0.6571,0.8041,0.8122,2.8285,0.7959,10.7509,0.8653,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,1869,253,930,363,202,1707,351,443,206,0,14,0,14,541,460,17,27,5.6,0.8,7.9,4.5,37.1,7.0,9.6,4.5,0.0,0.9,0.0,0.9,11.7,9.0,0.4,0.6
44,Rhode Island,RI,44007,Providence,44007017500,"Census Tract 175, Providence County, Rhode Island",0.49611597337,2683,464,1310,122,1133,119,463,175,144,123,402,124,254,101,131,77,408,116,503,209,667,166,145,73,71,92,584,294,24,40,0,14,0,19,73,52,24,18,17.3,5.8,8.9,7.1,35.5,10.3,13.3,4.9,4.9,2.7,15.2,4.3,18.7,7.1,24.9,5.2,12.8,6.3,2.7,3.5,21.8,10.3,1.8,3.0,0.0,3.2,0.0,1.7,6.4,4.9,0.9,0.7,0.5796,0.8408,0.6898,0.7184,0.6571,3.4857,0.7918,0.3673,0.5347,0.9633,0.8735,0.6327,3.3715,0.898,0.5755,0.5755,0.5755,0.2245,0.0,0.0,0.5102,0.6082,1.3429,0.1673,8.7756,0.7061,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1715,192,675,52,57,190,145,229,226,0,14,0,14,113,105,0,14,7.2,1.3,1.9,2.2,7.1,5.5,8.5,7.8,0.0,1.6,0.0,1.6,4.2,3.7,0.0,1.6
